Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 (est),2030 Target
United States,5171,5109,5073,5146,5052,4321,4781,4932,5110,5080,3300
United Kingdom,460,432,417,412,394,318,341,346,352,340,160
Germany,795,783,771,756,719,644,686,704,712,690,250
France,382,372,366,360,348,324,336,345,348,340,220
Italy,381,370,358,350,340,310,328,339,342,335,160
Canada,582,575,589,601,608,577,608,624,635,620,370
Japan,1221,1203,1196,1183,1159,1078,1104,1131,1142,1130,600
