Country,2015 Emissions,2024 Emissions,% Change,2030 Target,Gap to Target,On Track?
United States,5171,5080,-1.80%,3300,1780,No
United Kingdom,460,340,-26.10%,160,180,No
Germany,795,690,-13.20%,250,440,No
France,382,340,-11.00%,220,120,No
Italy,381,335,-12.10%,160,175,No
Canada,582,620,0.065,370,250,No
Japan,1221,1130,-7.50%,600,530,No
